What is the value of pi (π) to two decimal places?,3.14
What is the square root of 81?,9
What is 5 multiplied by 8?,40
What is the sum of 12 and 25?,37
What is 3 squared?,9
What is the next prime number after 17?,19
What is the value of log(1)?,0
What is the product of 7 and 9?,63
What is 20 divided by 4?,5
What is the cube of 3?,27
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest mammal in the world?,Blue whale
What is the longest river in the world?,Nile River
Which country is known for the Great Barrier Reef?,Australia
What is the main ingredient in guacamole?,Avocado
Who is known as the Father of Computers?,Charles Babbage
What is the capital of Italy?,Rome
Which bird is a symbol of peace?,Dove
What is the hottest planet in our solar system?,Venus
What is the main ingredient in sushi rolls?,Rice
